Ib (A);Ib (A) err;Vrc (V);Vrc (V) err;Ic (A);Ic (A) err
0.0015;0.000115;0.34;0.0027;0.000288136;3.34635E-06
0.0041;0.000141;0.978;0.00589;0.000828814;8.61683E-06
0.0081;0.000181;1.976;0.01088;0.001674576;1.69236E-05
0.0138;0.000238;3.33;0.02665;0.002822034;3.28941E-05
0.0194;0.000294;4.69;0.03345;0.003974576;4.4024E-05
0.0254;0.000354;6.08;0.0404;0.005152542;5.54876E-05
0.0313;0.000413;7.42;0.0471;0.006288136;6.65806E-05
0.0374;0.000474;8.74;0.0537;0.00740678;7.75307E-05
0.0439;0.000539;9.37;0.05685;0.007940678;8.27622E-05
0.0506;0.000606;9.42;0.0571;0.007983051;8.31775E-05
0.0575;0.000675;9.43;0.05715;0.007991525;8.32606E-05
