R;Vout (RMS);T
1;0.00033474;0.33474
1.00E+01;0.00334072;3.34072
1.25E+01;0.00417614;4.17614
1.50E+01;0.0050106;5.0106
1.75E+01;0.00584698;5.84698
1.00E+02;0.0334101;33.4101
1.25E+02;0.0417614;41.7614
1.50E+02;0.0501137;50.1137
1.75E+02;0.0584669;58.4669
1.00E+03;0.334097;334.097
1.25E+03;0.417621;417.621
1.50E+03;0.501145;501.145
1.75E+03;0.58467;584.67
2.00E+03;0.668194;668.194
4.00E+03;1.33639;1336.39
6.00E+03;2.00458;2004.58
8.00E+03;2.67278;2672.78
1.00E+04;3.34097;3340.97
1.25E+04;3.63128;3631.28
1.50E+04;3.70329;3703.29
1.75E+04;3.84843;3848.43
2.00E+04;3.98846;3988.46
4.00E+04;4.95653;4956.53
6.00E+04;5.58358;5583.58
8.00E+04;5.92409;5924.09
1.00E+05;6.07133;6071.33
1.25E+05;6.13919;6139.19
1.50E+05;6.11742;6117.42
1.75E+05;6.00894;6008.94
1.00E+06;0.0966046;96.6046
1.00E+07;0.107295;107.295
;;
