Distancia;V;sd dev
0.65;2.189169;0.00649
0.64;2.189815;0.006273
0.63;2.199496;0.006641
0.62;2.205305;0.006471
0.61;2.213695;0.006871
0.6;2.225312;0.006766
0.59;2.230476;0.00691
0.58;2.239512;0.006758
0.57;2.245966;0.006947
0.56;2.250484;0.00667
0.55;2.253065;0.006632
0.54;2.255002;0.006501
0.53;2.260165;0.007509
0.52;2.255647;0.006361
0.51;2.249838;0.003415
0.5;2.255647;0.006455
0.49;2.256938;0.00656
0.48;2.258229;0.006309
0.47;2.254356;0.006266
0.46;2.260488;0.007828
0.45;2.258874;0.006186
0.44;2.255002;0.006117
0.43;2.260165;0.006645
0.42;2.265328;0.006427
0.41;2.274364;0.0066
0.4;2.284045;0.006469
0.39;2.298244;0.006921
0.385;2.311798;0.006489
0.38;2.322125;0.006781
0.375;2.33826;0.006666
0.37;2.361495;0.006775
0.365;2.375049;0.006817
0.36;2.407965;0.006406
0.355;2.429263;0.006617
0.35;2.46347;0.006371
0.345;2.489287;0.006425
0.34;2.529303;0.006696
0.335;2.575773;0.006412
0.33;2.643541;0.006973
0.325;2.710664;0.006651
0.32;2.80554;0.006956
0.315;2.901061;0.00661
0.31;3.051443;0.00661
0.305;3.196661;0.006949
0.3;3.395449;0.006852
0.298;3.484516;0.006845
0.296;3.6065;0.006599
0.294;3.704603;0.006644
0.292;3.859502;0.006399
0.29;4.003429;0.006795
0.288;4.19899;0.006633
0.286;4.458447;0.00633
0.284;4.672079;0.006766
0.282;4.890874;0.007154
0.28;5.08708;0.001178
