Resistencia;Error;Tau;Tau error
1.000;0.052;1.01E-05;9.05E-08
1.250;0.0645;8.31E-06;1.59E-07
1.502;0.0771;7.75E-06;3.15E-07
1.750;0.0895;6.51E-06;2.47E-07
2.002;0.1021;5.89E-06;3.27E-07
2.250;0.1145;4.63E-06;1.65E-07
2.502;0.1271;4.99E-06;3.79E-07
2.752;0.1396;3.86E-06;1.71E-07
3.002;0.1521;3.54E-06;5.02E-08
3.24;0.182;3.07E-06;1.40E-07
3.48;0.194;3.24E-06;7.20E-08
3.98;0.219;2.61E-06;4.18E-07
3.74;0.207;2.47E-06;8.85E-08
4.48;0.244;2.04E-06;1.47E-07
4.74;0.257;2.08E-06;1.04E-07
4.98;0.269;1.91E-06;2.48E-07
5.24;0.282;1.31E-06;3.17E-07
5.48;0.294;1.36E-06;3.67E-07
