C [nF];Vrms;Vavg;RF
0;3.51265;3.16866;0.478440658
1;3.50872;3.16515;0.478412141
2;3.49518;3.16927;0.465020138
3;3.47452;3.17284;0.446323431
4;3.44963;3.17601;0.423941542
5;3.42334;3.17861;0.399891778
6;3.39719;3.18031;0.375552559
7;3.37256;3.18073;0.352501648
8;3.35121;3.18179;0.330648956
9;3.33139;3.1818;0.310223917
10;3.31452;3.18212;0.291455222
11;3.29987;3.18266;0.273882545
12;3.28571;3.1815;0.258036565
13;3.27515;3.18197;0.243772494
14;3.26561;3.1821;0.230599396
15;3.25593;3.18069;0.218792276
16;3.2492;3.18123;0.207818197
17;3.2424;3.18079;0.19777254
18;3.23629;3.18026;0.188537818
19;3.23176;3.18064;0.180007752
20;3.22738;3.18058;0.17217754
22.5;3.21808;3.17997;0.155281696
25;3.21145;3.17994;0.141124669
27.5;3.20486;3.17833;0.129475776
30;3.20074;3.1782;0.119308117
32.5;3.19734;3.17787;0.110864907
35;3.19387;3.17699;0.103221319
37.5;3.19242;3.17764;0.096561563
40;3.18994;3.17681;0.091012285
45;3.18579;3.17533;0.081235109
50;3.18404;3.17552;0.073302448
75;3.17715;3.17329;0.049338484
100;3.17473;3.17254;0.037162801
