Vrb;Vrb err;VBE;VBE err;Ib (A);Ib err (A)
2.34;0.0317;0.396;0.00298;0.000506494;8.7822E-06
2.24;0.0312;0.497;0.003485;0.000484848;8.55221E-06
2.14;0.0307;0.516;0.00358;0.000463203;8.32386E-06
2.04;0.0302;0.536;0.00368;0.000441558;8.09731E-06
1.94;0.0297;0.555;0.003775;0.000419913;7.87269E-06
1.84;0.0292;0.574;0.00387;0.000398268;7.65017E-06
1.75;0.02875;0.59;0.00395;0.000378788;7.45187E-06
1.65;0.02825;0.604;0.00402;0.000357143;7.23391E-06
1.55;0.02775;0.607;0.004035;0.000335498;7.01866E-06
1.35;0.02675;0.608;0.00404;0.000292208;6.59739E-06
0.86;0.0243;0.609;0.004045;0.000186147;5.63235E-06
0.38;0.0219;0.609;0.004045;8.22511E-05;4.82312E-06
0.0003;0.0002009;0.611;0.004055;6.49351E-08;4.34905E-08
0.0060;0.000218;0.612;0.00406;1.2987E-06;4.9235E-08
0.0084;0.0002252;0.612;0.00406;1.81818E-06;5.25664E-08
0.1858;0.0007574;0.612;0.00406;4.02165E-05;4.65094E-07
0.283;0.003415;0.613;0.004065;6.12554E-05;9.9291E-07
2.44;0.0322;0.614;0.00407;0.000528139;9.0137E-06
2.54;0.0327;0.614;0.00407;0.000549784;9.24662E-06
2.63;0.03315;0.614;0.00407;0.000569264;9.45735E-06
2.73;0.03365;0.614;0.00407;0.000590909;9.69266E-06
2.83;0.03415;0.615;0.004075;0.000612554;9.9291E-06
2.93;0.03465;0.615;0.004075;0.000634199;1.01666E-05
3.03;0.03515;0.616;0.00408;0.000655844;1.0405E-05
3.13;0.03565;0.617;0.004085;0.000677489;1.06444E-05
3.22;0.0361;0.617;0.004085;0.00069697;1.08606E-05
3.32;0.0366;0.617;0.004085;0.000718615;1.11015E-05
3.43;0.03715;0.619;0.004095;0.000742424;1.13675E-05
3.52;0.0376;0.621;0.004105;0.000761905;1.15857E-05
3.62;0.0381;0.623;0.004115;0.00078355;1.18287E-05
3.72;0.0386;0.625;0.004125;0.000805195;1.20724E-05
3.82;0.0391;0.627;0.004135;0.00082684;1.23167E-05
1.456;0.00928;0.629;0.004145;0.000315152;3.95826E-06
1.257;0.008285;0.631;0.004155;0.000272078;3.44766E-06
1.158;0.00779;0.633;0.004165;0.000250649;3.19399E-06
1.06;0.0253;0.634;0.00417;0.000229437;6.01285E-06
0.963;0.006815;0.636;0.00418;0.000208442;2.69534E-06
0.769;0.005845;0.637;0.004185;0.00016645;2.20129E-06
0.672;0.00536;0.639;0.004195;0.000145455;1.95552E-06
0.575;0.004875;0.64;0.0042;0.000124459;1.71106E-06
0.477;0.004385;0.642;0.00421;0.000103247;1.46609E-06
0.0001;0.0002003;0.644;0.00422;2.1645E-08;4.33556E-08
0.36;0.0218;0.645;0.004225;7.79221E-05;4.79338E-06
0.339;0.003695;0.647;0.004235;7.33766E-05;1.12707E-06
0.32;0.0216;0.648;0.00424;6.92641E-05;4.73504E-06
0.301;0.003505;0.649;0.004245;6.51515E-05;1.03573E-06
0.262;0.00331;0.651;0.004255;5.671E-05;9.43389E-07
0.243;0.003215;0.652;0.00426;5.25974E-05;8.99049E-07
0.222;0.00311;0.653;0.004265;4.80519E-05;8.5064E-07
0.202;0.00301;0.654;0.00427;4.37229E-05;8.05222E-07
0.164;0.00282;0.655;0.004275;3.54978E-05;7.21226E-07
0.145;0.002725;0.657;0.004285;3.13853E-05;6.80639E-07
0.1257;0.0005771;0.658;0.00429;2.72078E-05;3.19856E-07
0.1062;0.0005186;0.659;0.004295;2.2987E-05;2.72929E-07
0.0685;0.0004055;0.661;0.004305;1.48268E-05;1.829E-07
0.0483;0.0003449;0.662;0.00431;1.04545E-05;1.35554E-07
0.0301;0.0002903;0.663;0.004315;6.51515E-06;9.44458E-08
0.0134;0.0002402;0.664;0.00432;2.90043E-06;6.07324E-08
0.0034;0.0002102;0.665;0.004325;7.35931E-07;4.61897E-08
0.0018;0.0002054;0.666;0.00433;3.8961E-07;4.46584E-08
0.0009;0.0002027;0.667;0.004335;1.94805E-07;4.39251E-08
0.0005;0.0002015;0.668;0.00434;1.08225E-07;4.36304E-08
